"X2022.04.16","X2022.04.17","ATL","BOS","PT2H29M","X248.60","X9","X947","DL","coach"
"2022-07-07","2022-08-25","ATL","LAX","PT7H17M",306.61,4,1918,"AA||AA","coach||coach"
"2022-06-04","2022-07-17","ATL","LAX","PT4H32M",573.6,5,1943,"DL","coach"
"2022-06-21","2022-06-29","ATL","DFW","PT2H16M",228.6,9,725,"DL","coach"
"2022-05-05","2022-05-07","ATL","SFO","PT10H15M",752.2,7,2282,"DL||DL","coach||coach"
"2022-06-04","2022-07-26","ATL","LAX","PT8H10M",478.61,9,2047,"DL||DL","coach||coach"
"2022-05-06","2022-06-05","ATL","BOS","PT5H33M",448.6,1,947,"UA||UA","coach||coach"
"2022-06-15","2022-07-09","ATL","BOS","PT4H25M",360.1,7,956,"AA||AA","coach||coach"
"2022-07-08","2022-09-05","ATL","JFK","PT2H26M",238.6,7,762,"AA","coach"
"2022-05-27","2022-06-27","ATL","DFW","PT6H41M",318.6,7,924,"UA||UA","coach||coach"
"2022-05-12","2022-06-19","ATL","LAX","PT6H57M",648.59,1,2074,"UA||UA","coach||coach"
"2022-06-20","2022-08-06","ATL","DFW","PT2H19M",244.6,7,725,"AA","coach"
"2022-06-15","2022-07-26","ATL","DEN","PT3H3M",308.6,9,1207,"DL","coach"
"2022-05-21","2022-06-27","ATL","LGA","PT2H15M",248.6,9,762,"DL","coach"
"2022-06-11","2022-06-20","ATL","ORD","PT2H19M",358.6,7,600,"AA","coach"
"2022-07-11","2022-09-09","ATL","PHL","PT2H4M",278.6,9,667,"DL","coach"
"2022-06-09","2022-07-03","ATL","DEN","PT3H4M",378.6,9,1207,"DL","coach"
"2022-05-02","2022-05-11","ATL","IAD","PT1H46M",258.6,9,541,"DL","coach"
"2022-06-29","2022-07-11","ATL","OAK","PT7H2M",758.6,9,2175,"DL||DL","coach||coach"
"2022-05-22","2022-07-13","ATL","DTW","PT1H52M",178.6,3,604,"DL","coach"
"2022-07-02","2022-07-29","ATL","PHL","PT7H52M",274.61,7,1227,"B6||B6","coach||coach"
"2022-05-05","2022-05-27","ATL","OAK","PT7H54M",373.96,0,NA,"NK||NK","coach||coach"
"2022-06-26","2022-08-05","ATL","EWR","PT10H7M",143.58,0,NA,"NK||NK","coach||coach"
"2022-06-24","2022-07-07","ATL","DFW","PT6H23M",181.6,9,924,"UA||UA","coach||coach"
"2022-04-18","2022-05-03","ATL","LGA","PT3H54M",172.6,9,762,"UA||UA","coach||coach"
